,s18,s11,s03,s59,s41,s37,s05,s07,s09,s88,s47,s02,s33,s24,s21,s16,s19,s36,s39,s25,s27,s31,s43,s96,s58,s51,s57,s73,s86,s29,s90,B02,B04,B06,B08,B10,B24,B25,B12,B14,B16,B18,B20,B22,s17,s12,s04,s32,s42,s38,s06,s08,s10,s87,s48,s01,s34,s23,s22,s15,s20,s56,s40,s26,s28,s60,s44,s95,s61,s52,s63,s74,s85,s94,s89,B01,B03,B05,B07,B09,B23,B26,B11,B13,B15,B17,B19,B21
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae,237,469,36,414,203,200,35,295,66,73,388,158,91,17,281,439,382,275,251,343,197,66,452,487,786,133,361,27,422,188,584,66,14,594,318,109,299,277,354,30,460,137,346,589,4,48,87,192,32,138,44,39,14,59,521,86,51,28,78,98,420,78,256,284,520,53,174,145,674,124,421,244,227,31,422,116,0,265,351,14,32,243,109,0,95,27,120,233
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uniformis,45,24,1,0,0,21,0,47,0,0,126,0,8,222,0,85,14,33,0,61,3,1,36,74,103,0,0,0,12,11,44,186,37,13,124,0,17,105,144,0,219,14,8,27,0,2,0,0,18,0,0,0,0,0,89,0,0,135,0,48,0,0,0,0,0,2,20,48,21,0,0,42,10,14,55,86,7,0,27,0,2,145,27,0,0,0,0,8
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae,31,34,0,20,5,69,13,317,1,0,32,0,29,0,21,319,241,323,0,133,0,0,113,59,80,0,532,0,73,13,185,0,0,54,157,56,0,123,111,0,22,37,37,114,0,1,21,0,0,9,0,0,36,0,1,20,0,0,1,109,212,34,0,84,2,0,68,8,0,2,80,31,56,21,70,0,22,0,24,0,0,34,165,0,0,6,51,53
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;distasonis,17,8,3,20,18,0,18,55,0,15,0,0,4,6,1,63,127,13,0,0,31,18,125,16,134,0,67,0,89,40,6,241,32,49,7,18,0,8,0,0,92,25,78,78,0,20,0,0,29,0,0,0,0,0,11,0,3,4,0,37,101,12,0,0,235,7,48,10,56,4,0,6,77,11,5,141,0,7,2,0,0,0,58,0,0,0,10,7
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales,48,154,198,20,207,35,318,18,182,38,101,30,176,29,316,16,18,18,16,34,206,59,43,41,36,36,1,42,28,14,40,103,1,31,64,105,8,25,3,99,6,2,20,2,58,257,217,593,199,188,56,198,2,131,45,208,182,92,247,69,29,275,15,80,41,32,553,6,40,125,55,156,67,96,21,63,67,137,23,177,94,117,60,214,270,65,173,162
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;[Barnesiellaceae],0,0,0,0,1,0,3,1,0,0,43,0,1,0,0,16,3,0,0,9,1,69,172,113,0,0,18,56,3,1,60,3,1,3,130,0,0,55,0,1,1,101,62,64,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,1,14,107,68,4,10,35,31,0,0,66,0,0,0,77,0,1,12,0,0,0,0,0,22
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus,111,86,35,89,1,64,10,47,0,0,98,2,46,114,24,1,6,24,26,272,10,25,29,75,127,93,0,243,166,19,81,74,19,67,110,33,18,86,142,8,47,1,41,44,16,28,30,131,0,44,18,11,0,175,33,0,5,23,6,32,8,3,29,90,49,27,2,11,37,47,15,376,47,2,56,66,1,1,2,0,0,36,69,9,118,0,9,1
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Ruminococcus];gnavus,53,26,0,17,0,0,0,0,0,94,10,6,17,455,52,45,26,18,4,5,1,3,10,48,0,31,0,0,9,9,11,28,8,0,70,0,0,13,23,0,39,0,99,23,21,0,0,0,0,0,1,0,0,0,16,0,25,60,0,0,12,0,10,0,21,3,1,16,0,62,2,3,0,7,9,17,0,0,0,0,0,46,23,0,0,0,0,2
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides,109,122,27,847,110,109,19,531,12,7,267,74,21,1863,37,230,334,644,818,816,166,1,545,567,1125,129,1456,36,250,317,468,437,198,487,203,81,2188,445,332,1,1737,267,411,1121,149,86,61,12,383,36,12,17,101,3,216,192,216,1015,43,110,213,41,522,55,430,14,349,181,702,172,294,144,275,58,683,265,37,89,252,30,96,1127,152,78,21,202,112,364
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae,1261,419,133,656,55,76,67,404,294,677,117,57,106,651,332,549,188,380,287,338,124,52,381,418,425,738,96,58,266,319,148,657,147,432,458,49,227,96,454,10,224,95,692,618,467,118,65,74,35,148,67,58,198,111,163,70,117,165,64,208,309,209,451,606,613,300,210,303,368,221,179,291,221,120,107,618,185,8,317,239,2,28,276,17,9,65,175,425
