,,,,,,,,,,
,,,,,,,,,,
Overlap set,Pathway,gene_names_in_pathway_CRC,p_val_CRC,p_adj_CRC,gene_names_in_pathway_IBD,p_val_IBD,p_adj_IBD,gene_names_in_pathway_IBS,p_val_IBS,p_adj_IBS
CRC & IBD & IBS,KEGG_OXIDATIVE_PHOSPHORYLATION,"ATP6V1B2,ATP6V1C1,ATP6V1F,ATP6V1H,COX6C,COX7A2,COX7B,CYC1,MT-ATP6,MT-ATP8,MT-CO2,MT-CO3,MT-CYB,MT-ND1,MT-ND2,MT-ND4L,MT-ND6,NDUFA1,NDUFA4,NDUFA5,NDUFB2,NDUFB6,NDUFB9,UQCRB",3.84E-13,8.90E-11,"ATP6V0B,ATP6V0D1,COX17,COX4I1,COX5A,COX5B,COX6A1,COX6B1,COX6C,COX7A2,COX7B,COX7C,COX8A,CYC1,NDUFA1,NDUFA10,NDUFA2,NDUFA3,NDUFA4,NDUFA6,NDUFA7,NDUFA8,NDUFA9,NDUFAB1,NDUFB1,NDUFB10,NDUFB2,NDUFB3,NDUFB4,NDUFB6,NDUFB9,NDUFC1,NDUFS2,NDUFS3,NDUFS4,NDUFS5,NDUFS6,NDUFV1,NDUFV3,PPA2,SDHA,SDHB,UQCR10,UQCR11,UQCRB,UQCRC1,UQCRC2,UQCRFS1,UQCRH,UQCRQ",1.66E-18,1.60E-16,"ATP6V0C,ATP6V0E1,ATP6V0E2,ATP6V1F,COX17,COX4I1,COX6B1,COX7A1,COX7B,COX7C,NDUFA1,NDUFA11,NDUFA2,NDUFA3,NDUFA6,NDUFB1,NDUFB10,NDUFB2,NDUFB7,NDUFB9,NDUFC1,NDUFC2,NDUFS6,NDUFS8,NDUFV1,UQCR10,UQCR11,UQCRB,UQCRQ",1.11E-06,1.22E-05
,PID_RAC1_PATHWAY,"ACTR3,CYBB,CYFIP2,IQGAP3,MAP3K1,NCF1,NCKAP1,PLCB2",0.00386986,0.0112226,"ACTR3,ARHGDIA,ARPC1B,ARPC3,ARPC4,ARPC5,BAIAP2,BCAR1,CFL1,CTNNA1,CTNNB1,CYBA,MAP2K3,MAP3K11,PIP5K1C,STAT3",0.00442336,0.0245837,"ACTR2,BRK1,CTNNA1,CTNNB1,CYBA,IQGAP1,MAP2K7,NCKAP1,PAK2,STAT3",0.02795652,0.0827943
,PID_ERBB1_DOWNSTREAM_PATHWAY,"ARPC1B,ELK1,PPP2R2A,RAC1,RALA,RALGDS,RPS6,YWHAG,YWHAZ",0.01941693,0.03128283,"ACTR3,ARF4,ARPC1B,ARPC3,ARPC4,ARPC5,BAD,BAIAP2,BCL2L1,DUSP6,HRAS,MAP2K1,MAP2K2,MAPK7,MLST8,PIK3R1,RICTOR,RIN1,RPS6KA4,SFN,SOS1,STAT3",0.01506863,0.05512447,"ACTR2,BAD,BRAF,BRK1,CHN2,GAB1,HRAS,IQGAP1,KRAS,MAP3K2,MLST8,MTOR,NCKAP1,NRAS,PDPK1,PIK3CB,RICTOR,STAT3,YWHAG",0.00132749,0.00757163
CRC & IBD,PID_AVB3_INTEGRIN_PATHWAY,"ADGRA2,COL14A1,COL15A1,COL1A1,COL1A2,COL3A1,COL5A1,COL5A2,COL6A2,COL8A1,COL8A2,CSF1,CSF1R,KDR",3.37E-05,0.00025192,"CBL,COL12A1,COL15A1,COL1A1,COL1A2,COL2A1,COL3A1,COL4A1,COL4A4,COL5A1,COL5A2,COL6A1,COL6A3,COL7A1,COL8A1,CSF1,CSF1R,FGF2,ITGAV,ITGB3,KDR,MAPK3,MFGE8,PIK3CA,ROCK1,SPP1,SRC,TGFBR2,TLN1",6.95E-08,2.51E-06,0,0,0
,KEGG_VIBRIO_CHOLERAE_INFECTION,"ATP6AP1,ATP6V1B2,ATP6V1F,ATP6V1G1,KDELR2,PDIA4,PRKX,TJP2",0.00139685,0.00531262,"ACTB,ACTG1,ARF1,ATP6V0B,ATP6V0D1,ATP6V1F,KDELR3,PRKX,SEC61A1,SEC61B,SEC61G,SLC12A2,TCIRG1,TJP2",0.0039796,0.02300207,0,0,0
,KEGG_PROTEASOME,"PSMB1,PSMB7,PSMB8,PSMC2,SEM1",0.00571537,0.01393611,"POMP,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB10,PSMB2,PSMB3,PSMB5,PSMB6,PSMB7,PSMC2,PSMC3,PSMC4,PSMD1,PSMD11,PSMD14,PSMD8,PSME2,PSME3,PSME4",1.19E-11,6.86E-10,0,0,0
,PID_SYNDECAN_2_PATHWAY,"CAV2,CXCL8,EPB41,ITGB1,MMP2,TGFB1",0.0055643,0.01393611,"EZR,FN1,ITGA2,ITGB1,LAMA3,MAPK3,PRKCD,SDC2,SDCBP,TNFRSF13B",0.00564959,0.0292532,0,0,0
,PID_HDAC_CLASSI_PATHWAY,"GATAD2A,HDAC10,MBD2,MBD3,NCOR2,SIN3B,ZFPM1",0.01858504,0.03036428,"CHD3,HDAC1,MBD3,MXD1,NCOR2,RAN,RANGAP1,SIRT1,SIRT4,STAT3,TNFRSF1A,WDR77",0.02741656,0.08168439,0,0,0
,PID_NECTIN_PATHWAY,"CDH1,CTNNA1,F11R,PVR,SRC",0.03278059,0.04753185,"ITGAV,ITGB3,PDGFB,PDGFRB,PIK3CA,PTPRM,SRC,TLN1",0.0298837,0.08636389,0,0,0
CRC & IBS,PID_TCR_PATHWAY,"CD247,CD28,CD3D,CD3E,CD3G,CD80,FYB1,GRAP2,ITK,LCK,PRKCA,PRKCB,PRKCE,PTEN,PTPN6,RASGRP2,RASSF5,SLA2,SOS1",1.12E-09,5.18E-08,0,0,0,"CARD11,CD247,CD3D,CD3E,CD3G,ITK,LCK,MAP4K1,PRKCB,PTPN6,RASGRP1,RASGRP2,ZAP70",1.38E-12,7.43E-11
