Table S6: Significant and stability-selected host gene-microbe associations at FDR < 0.1 for CRC data,,,,,,,,,
,,,,,,,,,
gene,taxa,final_model_r.sqr,final_model_r.sqr.adj,pval,ci.lower,ci.upper,Bonferonni_global,BY_global,BH_global
ARC,Bacteria;Firmicutes;Clostridia;Clostridiales;[Tissierellaceae];Peptoniphilus,0.9987537,0.997767,0,0.3636356,0.4280597,0,0,0
TPO,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Promicromonosporaceae;Cellulosimicrobium,0.9988805,0.9971682,0,0.7283348,0.8624726,0,0,0
ZBP1,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia,0.998813,0.9977809,0,-0.4890691,-0.4061327,0,0,0
CLSTN3,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia,0.9970505,0.9949268,0,-0.3185278,-0.25025,0,0,0
UVSSA,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia,0.9946919,0.9904896,0,-0.3430565,-0.2651609,0,0,0
ANXA1,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales,0.9988802,0.9978113,0,1.740322,2.273771,0,0,0
FN3KRP,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae,0.9954217,0.9924282,0,-0.1418515,-0.1067321,0,0,0
GTF2B,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia,0.9978485,0.9957948,0,0.165038,0.2205689,0,0,0
CHGB,Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella,0.9924097,0.9851644,0,0.2693651,0.3681037,0,0,0
GRID2,Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;paracuniculus,0.981286,0.967812,0,0.5098956,0.7040117,0,0,0
C20orf27,Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae,0.9791511,0.9679821,0,0.2862903,0.3956933,0,0,0
RCOR1,Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae,0.9957133,0.9897596,0,-0.2148156,-0.1512516,0,0,0
FABP2,Bacteria;Firmicutes;Clostridia;Clostridiales;[Tissierellaceae];Anaerococcus,0.9946533,0.9895496,0,0.2724836,0.3876617,0,0,0
UNC13D,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia,0.9954349,0.992148,0,-0.452593,-0.3174041,0,0,0
CLIC3,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7,0.9988687,0.9971384,0,-0.1686685,-0.1175679,0,0,0
WNT5A,Bacteria;Firmicutes;Clostridia;Clostridiales;[Tissierellaceae],0.9761738,0.9634098,0,-0.3236686,-0.2200434,0,0,0
ANKRD13D,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia,0.9878647,0.9806735,0,-0.2471524,-0.1680078,0,0,0
WNT9A,Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae,0.986306,0.9764463,0,0.250657,0.3688974,0,0,0
SH2B1,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia,0.995058,0.9898806,0,-0.241395,-0.1636404,0,0,0
FH,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospira,0.9561234,0.9371102,0,0.1929666,0.288124,0,0,0
SAXO2,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Promicromonosporaceae;Cellulosimicrobium,0.9865946,0.9725508,0,0.4782977,0.719635,0,0,0
UGT1A7,Bacteria;Firmicutes;Clostridia;Clostridiales;[Tissierellaceae];Anaerococcus,0.9737812,0.9566381,0,0.2576821,0.3881203,0,0,0
MSANTD1,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia,0.9742082,0.9537897,0,-0.2621044,-0.1701278,0,0,0
PPIP5K1,Bacteria;Firmicutes;Clostridia;Clostridiales;[Tissierellaceae];Peptoniphilus,0.9981599,0.9964034,0,-0.1219477,-0.0784078,0,0,0
CYTH2,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia,0.9932872,0.9879728,0,-0.2560649,-0.164499,0,0,0
MYL12A,Bacteria;TM7,0.9968763,0.9938946,0,-0.1960312,-0.125899,0,0,0
CDH2,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales,0.9934888,0.9872735,0,0.9418319,1.476025,0,0,0
FBXO44,Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium,0.9710684,0.9521515,0,-0.2790829,-0.17709,0,0,0
TMEM185A,Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae,0.9846835,0.9764783,0,0.152574,0.2406571,0,0,0
CCDC144A,Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Eggerthella;lenta,0.9921299,0.9830793,0,0.6250855,0.9923822,0,0,0
ALCAM,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia,0.9125442,0.8786904,0,0.3592845,0.571045,0,0,0
CBFA2T3,Bacteria;GN02,0.8893116,0.8512624,0,0.3979651,0.638513,0,0,0
ATP9A,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea,0.9907653,0.9827352,0,0.2109316,0.3408816,0.000000000253,0,0
GSKIP,Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Selenomonas,0.9987253,0.9975086,0,0.1384646,0.2243835,0.000000000371,0,0
ZDHHC12,Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella,0.9238097,0.8976193,0,-0.5197767,-0.3148991,0.00000000413,0.000000000129,0
ALOX5AP,Bacteria;Synergistetes;Synergistia;Synergistales,0.9689016,0.9418595,0,0.2602116,0.4303564,0.00000000527,0.000000000163,0
RBM42,Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;perfringens,0.9534096,0.9198645,0,0.1489901,0.2476418,0.00000000962,0.00000000029,0
SFI1,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia,0.9731316,0.9572096,0,-0.2122771,-0.1273898,0.000000013,0.000000000381,0
STT3B,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia,0.9535598,0.9260396,0,0.2444984,0.4102372,0.0000000286,0.000000000784,0
MTMR11,Bacteria;GN02,0.9963554,0.9944029,0,-0.4723803,-0.28153,0.0000000287,0.000000000784,0
IDUA,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia,0.8188908,0.7836751,0,-0.5008865,-0.2946504,0.000000118,0.00000000296,0.000000000191
TBC1D9B,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia,0.7854201,0.7116582,0,-0.376753,-0.2214152,0.000000131,0.00000000325,0.00000000021
BTN3A2,Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Catenibacterium,0.9727235,0.9565596,0,-0.5630882,-0.3296823,0.000000192,0.00000000466,0.000000000301
HSPB3,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae,0.9291692,0.8828567,0,0.1741519,0.2990338,0.000000328,0.00000000781,0.000000000505
IRF3,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia,0.8841925,0.8340092,0,-0.3377091,-0.1957686,0.000000515,0.0000000118,0.000000000763
