Table S7: Significant and stability-selected host gene-microbe associations at FDR < 0.1 for IBD data,,,,,,,,,
,,,,,,,,,
gene,taxa,final_model_r.sqr,final_model_r.sqr.adj,pval,ci.lower,ci.upper,Bonferonni_global,BY_global,BH_global
LRIG1,Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae,0.9940669,0.9874493,4.17E-39,-0.1311869,-0.09699998,6.09E-33,5.29E-33,3.58E-34
TMEM217,Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae,0.9957002,0.9923714,2.89E-35,0.1596489,0.2196384,4.22E-29,2.65E-29,1.80E-30
NPAS1,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia,0.9967124,0.9933031,1.82E-34,0.05961401,0.08233824,2.67E-28,1.46E-28,9.87E-30
PYGB,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.9914717,0.9862043,4.01E-32,0.1318242,0.1843509,5.87E-26,2.63E-26,1.78E-27
PGM3,Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae,0.9957737,0.9916982,5.39E-26,0.1010523,0.1471961,7.88E-20,1.66E-20,1.12E-21
HIST1H3E,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.9813142,0.9619364,3.89E-23,0.1349398,0.2015013,5.69E-17,7.78E-18,5.26E-19
SEZ6L2,Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Faecalitalea,0.9901803,0.9819972,2.34E-21,-0.2144687,-0.1410354,3.43E-15,3.83E-16,2.60E-17
MOSPD3,Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Faecalitalea,0.9963081,0.9929981,1.06E-20,-0.0785042,-0.0512458,1.56E-14,1.61E-15,1.09E-16
NPDC1,Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Faecalitalea,0.993324,0.9853129,3.79E-19,-0.3468601,-0.2221545,5.54E-13,4.87E-14,3.29E-15
MBLAC1,Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Faecalitalea,0.9906367,0.9809265,2.39E-18,-0.09538845,-0.06043326,3.50E-12,2.84E-13,1.92E-14
HIGD2A,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.9856114,0.9736209,7.51E-16,0.09541347,0.1567081,1.10E-09,6.03E-11,4.08E-12
LANCL1,Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella,0.8999842,0.8690269,1.55E-15,-0.129232,-0.07823341,2.26E-09,1.18E-10,7.99E-12
RARRES2,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 5,0.979167,0.9618063,9.66E-15,-0.3350689,-0.1997122,1.41E-08,6.65E-10,4.50E-11
MTIF2,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia,0.9492744,0.9245971,1.75E-14,-0.08957629,-0.05310442,2.56E-08,1.14E-09,7.70E-11
NCK2,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.9309692,0.891523,5.17E-14,0.09638914,0.1642515,7.55E-08,3.10E-09,2.10E-10
HSP90B1,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.9580115,0.9320775,5.41E-14,-0.1974823,-0.115839,7.90E-08,3.23E-09,2.19E-10
ARSA,Bacteria;Firmicutes;Negativicutes;Selenomonadales,0.9721914,0.9522039,1.07E-13,-0.3439486,-0.2003999,1.56E-07,6.13E-09,4.15E-10
UBALD2,Bacteria;Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae,0.9749856,0.9583094,5.41E-13,-0.1045735,-0.05989359,7.91E-07,2.84E-08,1.92E-09
CPLX1,Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae 1;Clostridium sensu stricto 1,0.9183628,0.8679399,1.41E-12,0.09167051,0.1618154,2.07E-06,6.81E-08,4.61E-09
RHBDF1,Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella,0.9006162,0.8633472,6.86E-12,0.1051795,0.1893102,1.00E-05,2.93E-07,1.98E-08
TOM1L2,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.9461628,0.9129104,9.73E-12,0.08066367,0.1458513,1.42E-05,4.02E-07,2.72E-08
PRR7,Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella,0.8622002,0.8277503,1.66E-11,0.07914495,0.1441399,2.43E-05,6.54E-07,4.43E-08
UPF1,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.9547481,0.9267984,6.57E-11,0.04993125,0.09275897,9.61E-05,2.31E-06,1.56E-07
L3MBTL3,Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Faecalitalea,0.9958326,0.9918141,9.33E-11,0.03922923,0.07326979,0.000136452,3.17E-06,2.15E-07
RARRES2,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia,0.979167,0.9618063,3.18E-10,0.09606029,0.1830262,0.000464736,9.62E-06,6.51E-07
PYROXD1,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Sutterella,0.8496833,0.8121041,3.37E-10,-0.1194668,-0.06263808,0.000493102,1.02E-05,6.90E-07
SLC35E2B,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Eubacterium] ventriosum group,0.9256197,0.8796789,3.40E-10,0.1101472,0.2101069,0.00049697,1.02E-05,6.93E-07
ID3,Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae,0.9370637,0.9038473,6.48E-10,0.1191588,0.2298894,0.000947677,1.84E-05,1.25E-06
SLC39A4,Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Faecalitalea,0.8806023,0.8271876,9.94E-10,-0.2634601,-0.1354919,0.001453498,2.73E-05,1.85E-06
ETNK1,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Tyzzerella,0.9424083,0.9166435,3.79E-09,0.05982457,0.1194468,0.005538773,9.40E-05,6.37E-06
CENPT,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae,0.7734383,0.729111,5.13E-09,-0.1338546,-0.06660961,0.007503074,0.000123911,8.39E-06
