A,B,C,D,isolate,uniprod_id
coo:CCU_T_29320,tRNA,60..130,CCU_T_29320,T02583,
coo:CCU_00100,CDS,241..318,hypothetical protein,T02583,
coo:CCU_00110,CDS,432..1544,DNA repair exonuclease,T02583,
coo:CCU_00120,CDS,1547..3220,hypothetical protein,T02583,
coo:CCU_00140,CDS,5775..5873,hypothetical protein,T02583,
coo:CCU_00150,CDS,complement(5914..7851),ATPase components of ABC transporters with duplicated ATPase domains,T02583,
coo:CCU_00160,CDS,8090..9886,Uncharacterized protein conserved in bacteria,T02583,
coo:CCU_00170,CDS,9905..10954,Membrane-associated lipoprotein involved in thiamine biosynthesis,T02583,
coo:CCU_00180,CDS,10964..11332,Uncharacterized protein conserved in bacteria,T02583,
coo:CCU_00190,CDS,11322..11879,Predicted membrane protein,T02583,
coo:CCU_00200,CDS,12098..13423,"electron transport complex, RnfABCDGE type, C subunit",T02583,
coo:CCU_00220,CDS,15061..16353,"electron transport complex, RnfABCDGE type, E subunit",T02583,
coo:CCU_00230,CDS,16353..16925,"electron transport complex, RnfABCDGE type, A subunit",T02583,
coo:CCU_00240,CDS,16939..17724,"electron transport complex, RnfABCDGE type, B subunit",T02583,
coo:CCU_00250,CDS,17766..18233,transcriptional regulator NrdR,T02583,
coo:CCU_00260,CDS,18230..18850,conserved hypothetical protein TIGR00257,T02583,
coo:CCU_00270,CDS,complement(18801..19790),hypothetical protein,T02583,
coo:CCU_00290,CDS,complement(21134..21799),"ABC-type multidrug transport system, ATPase component",T02583,
coo:CCU_00300,CDS,complement(21800..22072),hypothetical protein,T02583,
coo:CCU_00310,CDS,22245..23900,"Trypsin-like serine proteases, typically periplasmic, contain C-terminal PDZ domain",T02583,
coo:CCU_00320,CDS,24211..25344,tRNA-guanine transglycosylase,T02583,
coo:CCU_00330,CDS,25364..25738,protein translocase subunit yajC,T02583,
coo:CCU_00360,CDS,27182..27883,NifU homolog involved in Fe-S cluster formation,T02583,
coo:CCU_00370,CDS,27913..28923,hypothetical protein,T02583,
coo:CCU_00380,CDS,29684..29968,hypothetical protein,T02583,
coo:CCU_00390,CDS,30344..30640,hypothetical protein,T02583,
coo:CCU_00400,CDS,30771..31763,"Lyzozyme M1 (1,4-beta-N-acetylmuramidase)",T02583,
coo:CCU_00410,CDS,31941..32639,Predicted Zn-dependent protease,T02583,
coo:CCU_00430,CDS,41287..41334,hypothetical protein,T02583,
coo:CCU_00470,CDS,complement(45368..45613),hypothetical protein,T02583,
coo:CCU_00480,CDS,complement(45606..47612),DNA segregation ATPase FtsK/SpoIIIE and related proteins,T02583,
coo:CCU_00490,CDS,complement(47582..48826),type IV pilus assembly protein PilM,T02583,
coo:CCU_00500,CDS,complement(49387..49812),prepilin-type N-terminal cleavage/methylation domain,T02583,
coo:CCU_00530,CDS,complement(51385..51504),hypothetical protein,T02583,
coo:CCU_00540,CDS,complement(51476..52447),pilus retraction protein PilT,T02583,
coo:CCU_00550,CDS,complement(52522..54264),type II secretion system protein E (GspE),T02583,
coo:CCU_00560,CDS,54549..55169,"RNA polymerase, sigma 27/28 subunit, RpsK/SigK",T02583,
coo:CCU_00570,CDS,complement(55189..56436),Collagenase and related proteases,T02583,
coo:CCU_00580,CDS,complement(56444..57085),Predicted O-methyltransferase,T02583,
coo:CCU_00610,CDS,complement(57887..58234),Protein of unknown function (DUF964).,T02583,
coo:CCU_00630,CDS,complement(59917..60195),Protein of unknown function (DUF1292).,T02583,
coo:CCU_00640,CDS,complement(60255..60704),conserved hypothetical protein TIGR00250,T02583,
coo:CCU_00650,CDS,complement(60719..60976),Uncharacterized protein conserved in bacteria,T02583,
coo:CCU_00660,CDS,complement(61043..62401),MiaB-like tRNA modifying enzyme,T02583,
coo:CCU_00670,CDS,62494..62727,PTS HPr component phosphorylation site.,T02583,
coo:CCU_00680,CDS,complement(62830..64017),thiazole biosynthesis/tRNA modification protein ThiI,T02583,
coo:CCU_00690,CDS,complement(64026..65171),Cysteine sulfinate desulfinase/cysteine desulfurase and related enzymes,T02583,
coo:CCU_00700,CDS,complement(65249..66007),"RNA methyltransferase, RsmE family",T02583,
coo:CCU_00710,CDS,complement(66036..66998),[LSU ribosomal protein L11P]-lysine N-methyltransferase,T02583,
coo:CCU_00740,CDS,complement(68785..70632),chaperone protein DnaK,T02583,
coo:CCU_00750,CDS,complement(70705..71370),Molecular chaperone GrpE (heat shock protein),T02583,
coo:CCU_00760,CDS,complement(71408..72448),heat-inducible transcription repressor HrcA,T02583,
coo:CCU_00770,CDS,complement(72602..73900),putative oxygen-independent coproporphyrinogen III oxidase,T02583,
coo:CCU_00780,CDS,complement(74052..75866),GTP-binding protein LepA,T02583,
coo:CCU_00790,CDS,complement(76002..77162),stage II sporulation protein P,T02583,
coo:CCU_00800,CDS,complement(77255..78157),Germination protease.,T02583,
coo:CCU_00810,CDS,complement(78250..78561),hypothetical protein,T02583,
coo:CCU_00840,CDS,complement(82176..82532),stage V sporulation protein AE,T02583,
coo:CCU_00850,CDS,complement(82539..83564),stage V sporulation protein AD,T02583,
coo:CCU_00870,CDS,85112..85447,Chloride channel protein EriC,T02583,
coo:CCU_00880,CDS,complement(85455..87188),Uncharacterized vancomycin resistance protein,T02583,
coo:CCU_00890,CDS,complement(87189..87569),hypothetical protein,T02583,
coo:CCU_00900,CDS,complement(87689..88138),SpoVA protein.,T02583,
coo:CCU_00910,CDS,complement(88179..88595),hypothetical protein,T02583,
coo:CCU_00920,CDS,complement(88585..89208),Stage V sporulation protein AA.,T02583,
coo:CCU_00930,CDS,complement(89266..89586),DNA-directed RNA polymerase specialized sigma subunit,T02583,
coo:CCU_00940,CDS,complement(89562..89948),DNA-directed RNA polymerase specialized sigma subunit,T02583,
coo:CCU_00950,CDS,complement(89948..90385),anti-sigma F factor,T02583,
coo:CCU_00960,CDS,complement(90403..90750),anti-anti-sigma factor,T02583,
coo:CCU_00970,CDS,complement(90863..92473),hypothetical protein,T02583,
coo:CCU_00980,CDS,complement(92503..92649),hypothetical protein,T02583,
coo:CCU_00990,CDS,complement(92636..93934),folylpolyglutamate synthase/dihydrofolate synthase,T02583,
coo:CCU_01000,CDS,complement(93976..94470),7-cyano-7-deazaguanine reductase,T02583,
coo:CCU_01010,CDS,complement(94530..95750),acetylornithine aminotransferase apoenzyme,T02583,
coo:CCU_01040,CDS,complement(97368..99104),"ABC-type multidrug transport system, ATPase and permease components",T02583,
coo:CCU_01050,CDS,complement(99292..100041),conserved hypothetical protein TIGR01033,T02583,
coo:CCU_01060,CDS,complement(100088..100888),Hemolysins and related proteins containing CBS domains,T02583,
coo:CCU_01080,CDS,complement(101367..102536),alanine racemase,T02583,
coo:CCU_01090,CDS,complement(102523..104043),"yjeF C-terminal region, hydroxyethylthiazole kinase-related/yjeF N-terminal region",T02583,
coo:CCU_01110,CDS,complement(105547..106998),Membrane protein involved in colicin uptake,T02583,
coo:CCU_01130,CDS,complement(108174..109535),UDP-N-acetylmuramoylalanine--D-glutamate ligase,T02583,
coo:CCU_01140,CDS,complement(109582..110541),Phospho-N-acetylmuramoyl-pentapeptide-transferase,T02583,
coo:CCU_01170,CDS,complement(112826..115138),Cell division protein FtsI/penicillin-binding protein 2,T02583,
coo:CCU_01180,CDS,complement(115176..115751),hypothetical protein,T02583,
coo:CCU_01190,CDS,complement(115779..116714),S-adenosyl-methyltransferase MraW,T02583,
coo:CCU_01200,CDS,complement(116734..117186),mraZ protein,T02583,
coo:CCU_01210,CDS,complement(117505..118614),prolipoprotein diacylglyceryl transferase,T02583,
coo:CCU_01240,CDS,complement(120181..120618),FOG: CheY-like receiver,T02583,
coo:CCU_01250,CDS,121144..121437,hypothetical protein,T02583,
coo:CCU_01260,CDS,121813..123033,H+ Antiporter protein,T02583,
coo:CCU_01270,CDS,complement(123114..123914),Helix-turn-helix.,T02583,
coo:CCU_01280,CDS,complement(123993..124256),hypothetical protein,T02583,
coo:CCU_01300,CDS,complement(124938..125489),hypothetical protein,T02583,
coo:CCU_01310,CDS,125579..126523,Plasmid recombination enzyme.,T02583,
coo:CCU_01320,CDS,126507..126719,hypothetical protein,T02583,
coo:CCU_01330,CDS,126814..128325,"Site-specific recombinases, DNA invertase Pin homologs",T02583,
coo:CCU_01340,CDS,complement(128464..129813),"putative efflux protein, MATE family",T02583,
coo:CCU_01350,CDS,complement(129810..130259),Transcriptional regulators,T02583,
coo:CCU_01360,CDS,complement(130462..130896),hypothetical protein,T02583,
coo:CCU_01370,CDS,complement(130985..131557),Chromate transport protein ChrA,T02583,
coo:CCU_01380,CDS,complement(131557..132195),Chromate transport protein ChrA,T02583,
coo:CCU_01390,CDS,complement(132286..133941),Membrane protein involved in the export of O-antigen and teichoic acid,T02583,
